Stock A,Stock B,Correlation,Lag,Category
CHOLAFIN.NS,PFC.NS,0.5943158551870702,-12,Positive
CHOLAFIN.NS,DMART.NS,0.6356885084698631,-17,Positive
CHOLAFIN.NS,SBIN.NS,0.3080959688326578,-1,No Correlation
CHOLAFIN.NS,GODREJCP.NS,0.6503489782975549,-7,Positive
CHOLAFIN.NS,UNITDSPR.NS,0.5317700338978241,21,Positive
CHOLAFIN.NS,UNIONBANK.NS,-0.4774227702877972,24,No Correlation
CHOLAFIN.NS,KOTAKBANK.NS,0.48026428366653123,-1,No Correlation
CHOLAFIN.NS,ADANIPOWER.NS,0.6521462646167648,-19,Positive
CHOLAFIN.NS,BOSCHLTD.NS,0.6764375254217627,17,Positive
CHOLAFIN.NS,HCLTECH.NS,0.472366422829366,24,No Correlation
CHOLAFIN.NS,MARUTI.NS,0.411644436360144,-6,No Correlation
CHOLAFIN.NS,AMBUJACEM.NS,0.5065918343851357,-20,Positive
CHOLAFIN.NS,NTPC.NS,0.7591459742749963,14,Positive
CHOLAFIN.NS,LT.NS,0.0,0,No Correlation
CHOLAFIN.NS,ASIANPAINT.NS,0.6044547053425073,1,Positive
CHOLAFIN.NS,RECLTD.NS,0.5801051466885291,-24,Positive
CHOLAFIN.NS,APOLLOHOSP.NS,0.4787540432149087,24,No Correlation
CHOLAFIN.NS,PIDILITIND.NS,0.6867513387443007,1,Positive
CHOLAFIN.NS,ICICIPRULI.NS,0.7794417862047552,24,Positive
CHOLAFIN.NS,TORNTPHARM.NS,0.6088337270771214,16,Positive
CHOLAFIN.NS,PNB.NS,-0.3958532350083186,24,No Correlation
CHOLAFIN.NS,BEL.NS,0.5167553329598417,1,Positive
CHOLAFIN.NS,TECHM.NS,0.43085391758050057,24,No Correlation
CHOLAFIN.NS,LICI.NS,0.5531121960432488,-20,Positive
CHOLAFIN.NS,CIPLA.NS,0.745315088507569,16,Positive
CHOLAFIN.NS,NHPC.NS,0.6018693178928368,-24,Positive
CHOLAFIN.NS,JIOFIN.NS,-0.3161496966822662,24,No Correlation
CHOLAFIN.NS,TATAMOTORS.NS,0.46715478036333863,-24,No Correlation
CHOLAFIN.NS,DABUR.NS,0.7526980459858958,-7,Positive
CHOLAFIN.NS,ONGC.NS,0.5461183645516364,-21,Positive
CHOLAFIN.NS,IRFC.NS,0.6985159018814866,-24,Positive
CHOLAFIN.NS,DIVISLAB.NS,0.46742265516048703,24,No Correlation
CHOLAFIN.NS,GAIL.NS,0.6631206972757957,-2,Positive
CHOLAFIN.NS,LTIM.NS,0.5894405205231406,24,Positive
CHOLAFIN.NS,IRCTC.NS,0.32985495642389884,-24,No Correlation
CHOLAFIN.NS,ADANIGREEN.NS,0.28749544122897264,-17,No Correlation
CHOLAFIN.NS,VEDL.NS,0.5883937755996321,10,Positive
CHOLAFIN.NS,EICHERMOT.NS,0.4056059676843444,-13,No Correlation
CHOLAFIN.NS,CANBK.NS,-0.3151368025489601,24,No Correlation
CHOLAFIN.NS,IOC.NS,0.34005232001066354,-16,No Correlation
CHOLAFIN.NS,GRASIM.NS,0.78822698064382,15,Positive
CHOLAFIN.NS,TVSMOTOR.NS,0.7623815851482147,-1,Positive
CHOLAFIN.NS,HEROMOTOCO.NS,0.7043382877492901,-4,Positive
CHOLAFIN.NS,MOTHERSON.NS,0.8481898538424335,12,Positive
CHOLAFIN.NS,DLF.NS,-0.20660437190619532,-24,No Correlation
CHOLAFIN.NS,BPCL.NS,0.5765393647862758,14,Positive
CHOLAFIN.NS,JSWENERGY.NS,0.6864209395490275,7,Positive
CHOLAFIN.NS,BAJAJ-AUTO.NS,0.7294032308442095,-1,Positive
CHOLAFIN.NS,M&M.NS,0.4432777026437312,-1,No Correlation
CHOLAFIN.NS,TRENT.NS,0.707655883106634,19,Positive
CHOLAFIN.NS,TATAPOWER.NS,0.5187846648097104,1,Positive
CHOLAFIN.NS,ABB.NS,0.6170624383881346,1,Positive
CHOLAFIN.NS,SIEMENS.NS,0.5431677663056129,1,Positive
CHOLAFIN.NS,BHEL.NS,0.595502146682884,-24,Positive
CHOLAFIN.NS,ULTRACEMCO.NS,0.6325374298592853,-1,Positive
CHOLAFIN.NS,HAVELLS.NS,0.7909696172645742,-3,Positive
CHOLAFIN.NS,VBL.NS,0.45393694275092134,-1,No Correlation
BAJAJFINSV.NS,BAJFINANCE.NS,0.6988361293581765,-1,Positive
BAJAJFINSV.NS,INDUSINDBK.NS,-0.4369906547279914,24,No Correlation
BAJAJFINSV.NS,HINDALCO.NS,0.20943599926944076,-1,No Correlation
BAJAJFINSV.NS,COALINDIA.NS,-0.27782498144517953,24,No Correlation
BAJAJFINSV.NS,HDFCBANK.NS,0.4351474107416955,14,No Correlation
BAJAJFINSV.NS,SUNPHARMA.NS,0.6520862331605275,-3,Positive
BAJAJFINSV.NS,ZOMATO.NS,0.45324133367800185,-12,No Correlation
BAJAJFINSV.NS,AXISBANK.NS,-0.1624484564864233,24,No Correlation
BAJAJFINSV.NS,JSWSTEEL.NS,0.593903587481174,-1,Positive
BAJAJFINSV.NS,ICICIGI.NS,0.6146781131731727,-22,Positive
BAJAJFINSV.NS,NAUKRI.NS,0.4888612116932747,-2,No Correlation
BAJAJFINSV.NS,NESTLEIND.NS,-0.40198609721416284,24,No Correlation
BAJAJFINSV.NS,RELIANCE.NS,-0.47565492269352405,24,No Correlation
BAJAJFINSV.NS,INDIGO.NS,0.4680963744901491,-3,No Correlation
BAJAJFINSV.NS,BHARTIARTL.NS,0.6868660802794517,-1,Positive
BAJAJFINSV.NS,ICICIBANK.NS,0.5152451696201398,17,Positive
BAJAJFINSV.NS,WIPRO.NS,0.46497491162525345,-1,No Correlation
BAJAJFINSV.NS,POWERGRID.NS,0.332867236013676,-24,No Correlation
BAJAJFINSV.NS,TITAN.NS,0.3213274145788754,-19,No Correlation
BAJAJFINSV.NS,ATGL.NS,-0.5823184283605485,6,Negative
BAJAJFINSV.NS,SHREECEM.NS,-0.2322490310665251,17,No Correlation
BAJAJFINSV.NS,ADANIPORTS.NS,-0.3402885013747246,24,No Correlation
BAJAJFINSV.NS,SBILIFE.NS,0.4447806899209532,-17,No Correlation
BAJAJFINSV.NS,DRREDDY.NS,0.6947475436519726,-24,Positive
BAJAJFINSV.NS,TATACONSUM.NS,-0.4803576282293052,24,No Correlation
BAJAJFINSV.NS,INFY.NS,0.6437686554813286,-18,Positive
BAJAJFINSV.NS,BRITANNIA.NS,0.31363756989375463,-5,No Correlation
BAJAJFINSV.NS,ZYDUSLIFE.NS,-0.36469334120129976,17,No Correlation
BAJAJFINSV.NS,ADANIENT.NS,-0.4066094459366068,6,No Correlation
BAJAJFINSV.NS,HAL.NS,-0.34104506219714653,12,No Correlation
BAJAJFINSV.NS,ADANIENSOL.NS,-0.39179702927764365,-6,No Correlation
BAJAJFINSV.NS,LODHA.NS,-0.36767020682989765,7,No Correlation
BAJAJFINSV.NS,TCS.NS,0.7091168448345324,-24,Positive
BAJAJFINSV.NS,JINDALSTEL.NS,-0.2498155139615529,18,No Correlation
BAJAJFINSV.NS,ITC.NS,0.5678921885645675,-24,Positive
BAJAJFINSV.NS,TATASTEEL.NS,-0.46749884508563516,-15,No Correlation
BAJAJFINSV.NS,HINDUNILVR.NS,0.44809503805184603,-24,No Correlation
BAJAJFINSV.NS,HDFCLIFE.NS,0.5416183767787136,-3,Positive
BAJAJFINSV.NS,BANKBARODA.NS,-0.7133850289469766,-12,Negative
BAJAJFINSV.NS,PFC.NS,-0.2961396594435698,12,No Correlation
BAJAJFINSV.NS,DMART.NS,-0.46156350290193365,24,No Correlation
BAJAJFINSV.NS,SBIN.NS,-0.4718894110491251,-10,No Correlation
BAJAJFINSV.NS,GODREJCP.NS,-0.3413612488223733,24,No Correlation
BAJAJFINSV.NS,UNITDSPR.NS,0.51833734193333,-11,Positive
BAJAJFINSV.NS,UNIONBANK.NS,-0.6068554031600341,-10,Negative
BAJAJFINSV.NS,KOTAKBANK.NS,0.6155189976547034,-1,Positive
BAJAJFINSV.NS,ADANIPOWER.NS,-0.40346432442447383,22,No Correlation
BAJAJFINSV.NS,BOSCHLTD.NS,0.3101579511214506,23,No Correlation
BAJAJFINSV.NS,HCLTECH.NS,0.4848891818165888,-18,No Correlation
BAJAJFINSV.NS,MARUTI.NS,-0.2652304732728751,24,No Correlation
BAJAJFINSV.NS,AMBUJACEM.NS,-0.5407071414021358,21,Negative
BAJAJFINSV.NS,NTPC.NS,0.20551938181278104,13,No Correlation
BAJAJFINSV.NS,LT.NS,-0.3110585397210397,9,No Correlation
